judul,kategori,tanggal_upload,waktu_upload,link_berita
"Indonesia Kini Punya Sertifikat Vaksin Internasional, Begini Cara Aksesnya",WIKEN,29/01/2022, 22:03 WIB,https://www.kompas.com/wiken/read/2022/01/29/220301881/indonesia-kini-punya-sertifikat-vaksin-internasional-begini-cara-aksesnya
"Resep Ayam Bakar Klaten, Aromanya Gurih karena Pakai Santan",FOOD,29/01/2022, 22:03 WIB,https://www.kompas.com/food/read/2022/01/29/220300775/resep-ayam-bakar-klaten-aromanya-gurih-karena-pakai-santan
"FOTO: Setelah Tercemar Tumpahan Minyak, Pantai di Thailand Ditutup untuk Umum",GLOBAL,29/01/2022, 22:01 WIB,https://www.kompas.com/global/read/2022/01/29/220100770/foto--setelah-tercemar-tumpahan-minyak-pantai-di-thailand-ditutup-untuk
"Resmi ke Juventus, Buffon Sandingkan Dusan Vlahovic dengan Mbappe dan Halland",BOLA,29/01/2022, 22:00 WIB,https://bola.kompas.com/read/2022/01/29/22000008/resmi-ke-juventus-buffon-sandingkan-dusan-vlahovic-dengan-mbappe-dan-halland
6 Penyebab Vagina Gatal,HEALTH,29/01/2022, 22:00 WIB,https://health.kompas.com/read/2022/01/29/220000668/6-penyebab-vagina-gatal
"Turunkan Pemain-pemain Muda, Indonesia Siap Berjuang di Kejuaraan Beregu Asia 2022 ",BOLA,29/01/2022, 22:00 WIB,https://www.kompas.com/badminton/read/2022/01/29/22000068/turunkan-pemain-pemain-muda-indonesia-siap-berjuang-di-kejuaraan-beregu
Oknum Brimob yang Tembak Warga di Gunung Botak Maluku hingga Tewas Sudah Diamankan,REGIONAL,29/01/2022, 21:59 WIB,https://regional.kompas.com/read/2022/01/29/215955878/oknum-brimob-yang-tembak-warga-di-gunung-botak-maluku-hingga-tewas-sudah
"Update 29 Januari: 88,5 Persen Sasaran Vaksinasi Covid-19 Telah Terima Dosis Pertama",NEWS,29/01/2022, 21:53 WIB,https://nasional.kompas.com/read/2022/01/29/21534881/update-29-januari-885-persen-sasaran-vaksinasi-covid-19-telah-terima-dosis
"Kasus Covid-19 Melonjak di Liga 1, PT LIB Pertimbangkan Sistem Full Bubble",BOLA,29/01/2022, 21:44 WIB,https://bola.kompas.com/read/2022/01/29/21441198/kasus-covid-19-melonjak-di-liga-1-pt-lib-pertimbangkan-sistem-full-bubble
Bagaimana Cara Investasi Saham bagi Pemula? ,MONEY,29/01/2022, 21:42 WIB,https://money.kompas.com/read/2022/01/29/214224926/bagaimana-cara-investasi-saham-bagi-pemula
